seed,n_active,outcome_noise_probability,method,n_replications,joint_set_coverage,projection_box_coverage,mean_width
20272716,6,0.1,rule_aware_partial_identification,250,0.896,0.944,0.85491837088
20272716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20272716,6,0.2,rule_aware_partial_identification,250,0.78,0.92,0.855024515153
20273716,4,0,rule_agnostic_partial_identification,250,1,1,1
20273716,4,0,rule_aware_partial_identification,250,1,1,0.821242617301
20273716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20273716,4,0.05,rule_aware_partial_identification,250,0.944,0.988,0.821870787879
20273716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20273716,4,0.1,rule_aware_partial_identification,250,0.908,0.984,0.820690552578
20273716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20273716,4,0.2,rule_aware_partial_identification,250,0.8,0.932,0.811950035427
20273716,5,0,rule_agnostic_partial_identification,250,1,1,1
20273716,5,0,rule_aware_partial_identification,250,1,1,0.84991470148
20273716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20273716,5,0.05,rule_aware_partial_identification,250,0.968,0.988,0.842360243375
20273716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20273716,5,0.1,rule_aware_partial_identification,250,0.868,0.944,0.840927997482
20273716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20273716,5,0.2,rule_aware_partial_identification,250,0.808,0.92,0.833622750507
20273716,6,0,rule_agnostic_partial_identification,250,1,1,1
20273716,6,0,rule_aware_partial_identification,250,1,1,0.867175890013
20273716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20273716,6,0.05,rule_aware_partial_identification,250,0.972,0.98,0.858435825919
20273716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20273716,6,0.1,rule_aware_partial_identification,250,0.876,0.964,0.858294225582
20273716,6,0.2,rule_agnostic_partial_identification,250,1,1,1
20273716,6,0.2,rule_aware_partial_identification,250,0.796,0.904,0.854471486574
20274716,4,0,rule_agnostic_partial_identification,250,1,1,1
20274716,4,0,rule_aware_partial_identification,250,1,1,0.825450349802
20274716,4,0.05,rule_agnostic_partial_identification,250,1,1,1
20274716,4,0.05,rule_aware_partial_identification,250,0.948,0.968,0.826369995063
20274716,4,0.1,rule_agnostic_partial_identification,250,1,1,1
20274716,4,0.1,rule_aware_partial_identification,250,0.912,0.964,0.815309652647
20274716,4,0.2,rule_agnostic_partial_identification,250,1,1,1
20274716,4,0.2,rule_aware_partial_identification,250,0.772,0.912,0.808823097391
20274716,5,0,rule_agnostic_partial_identification,250,1,1,1
20274716,5,0,rule_aware_partial_identification,250,1,1,0.84813426823
20274716,5,0.05,rule_agnostic_partial_identification,250,1,1,1
20274716,5,0.05,rule_aware_partial_identification,250,0.944,0.976,0.839391820466
20274716,5,0.1,rule_agnostic_partial_identification,250,1,1,1
20274716,5,0.1,rule_aware_partial_identification,250,0.896,0.972,0.841345875574
20274716,5,0.2,rule_agnostic_partial_identification,250,1,1,1
20274716,5,0.2,rule_aware_partial_identification,250,0.784,0.9,0.828885189399
20274716,6,0,rule_agnostic_partial_identification,250,1,1,1
20274716,6,0,rule_aware_partial_identification,250,1,1,0.866626205432
20274716,6,0.05,rule_agnostic_partial_identification,250,1,1,1
20274716,6,0.05,rule_aware_partial_identification,250,0.96,0.988,0.865641970906
20274716,6,0.1,rule_agnostic_partial_identification,250,1,1,1
20274716,6,0.1,rule_aware_partial_identification,250,0.872,0.952,0.861566522327
